id,Country,Name
1, USA,LIGO California Institute of Technology
2, USA,Louisiana State University
3, Italy,Universita di Salerno
4, Italy,"INFN, Sezione di Napoli"
5, USA,University of Florida
6, USA,LIGO Livingston Observatory
7,France,Universite Savoie 
8, Germany,Albert-Einstein-Institut
9, Netherlands,Nikhef
10, USA,LIGO Massachusetts Institute of Technology
11, Italy,Instituto Nacional de Pesquisas Espaciais
12, Italy,INFN
13, Italy,INFN
14,India,Inter-University Centre for Astronomy and Astrophysics
15, India,International Centre for Theoretical Sciences
16, USA,University of Wisconsin-Milwaukee
17,Germany,Leibniz Universitat Hannover
18,Italy,Universita di Pisa
19, Italy,INFN
20, Australia,Australian National University
21, USA,The University of Mississippi
22, USA,California State University Fullerton
23,France,Univ. Paris-Sud
24, India,Chennai Mathematical Institute
25, Italy,Universita di Roma Tor Vergata
26, UK,University of Southampton
27, Germany,Universitat Hamburg
28, Italy,INFN
29, Germany,Albert-Einstein-Institut
30, France,Observatoire de Paris
31, USA,Montana State University
32, Italy,Universita di Perugia
33, Italy,INFN
34, Italy,European Gravitational Observatory
35, USA,Syracuse University
36, UK,SUPA
37, USA,LIGO Hanford Observatory
38, Hungary,Wigner RCP
39, USA,Columbia University
40, USA,Stanford University
41, Italy,Universita di Padova
42, Italy,INFN
43, Poland,CAMK-PAN
44, Poland,Astronomical Observatory Warsaw University
45, UK,University of Birmingham
46, Italy,Universita degli Studi di Genova
47, Italy,INFN
48, India,RRCAT
49, Russia,Faculty of Physics
50, UK,SUPA
51, Australia,University of Western Australia
52, Netherlands,Radboud University Nijmegen
53, France,Artemis
54, Hungary,MTA Eotvos University
55, France,Institut de Physique de Rennes
56, USA,Washington State University
57,Italy,Universita degli Studi di Urbino
58, Italy,"INFN, Sezione di Firenze"
59, USA,University of Oregon
60, France,Laboratoire Kastler Brossel
61, Netherlands,VU University Amsterdam
62, USA,University of Maryland
63, USA,Georgia Institute of Technology
64, France,Institut Lumiere Matiere
65, France,Laboratoire des Materiaux Avances
66, Spain,Universitat de les Illes Balears
67,Italy,Universita di Napoli
68, USA,NASA/Goddard Space Flight Center
69,Canada,Canadian Institute for Theoretical Astrophysics
70,China,Tsinghua University
71, USA,University of Michigan
72, USA,The Pennsylvania State University
73,Taiwan,National Tsing Hua University
74, Australia,Charles Sturt University
75, USA,University of Chicago
76, USA,Caltech CaRT
77,Korea,Korea Institute of Science and Technology Information
78, USA,Carleton College
79,Italy,Universita di Roma
80,Belgium,University of Brussels
81, USA,Sonoma State University
82, USA,Texas Tech University
83, USA,Northwestern University
84, USA,University of Minnesota
85, Australia,The University of Melbourne
86, USA,The University of Texas Rio Grande Valley
87,UK,The University of Sheffield
88, Italy,University of Sannio at Benevento
89, USA,Montclair State University
90, Italy,Universita di Trento
91, Italy,INFN Trento
92, UK,Cardiff University
93, Japan,National Astronomical Observatory of Japan
94, UK,School of Mathematics
95,India,Indian Institute of Technology
96, India,Institute for Plasma Research
97, Hungary,University of Szeged
98, USA,Embry-Riddle Aeronautical University
99,India,Tata Institute of Fundamental Research
100, USA,American University
101, USA,University of Massachusetts-Amherst
102, Australia,University of Adelaide
103, USA,West Virginia University
104,Poland,University of Bia_ystok
105, UK,SUPA
106, India,IISER-TVM
107, Russia,Institute of Applied Physics
108, Korea,Pusan National University
109, Korea,Hanyang University
110, Poland,NCBJ
111, Poland,IM-PAN
112, USA,Rochester Institute of Technology
113, Australia,Monash University
114, Korea,Seoul National University
115, USA,University of Alabama in Huntsville
116, France,ESPCI
117, Italy,Universita di Camerino
118, USA,Southern University and A&M College
119, USA,College of William and Mary
120, Brazil,Instituto de Fisica Teorica
121,UK,University of Cambridge
122, India,IISER-Kolkata
123,UK,Rutherford Appleton Laboratory
124,USA,Whitman College
125, Korea,National Institute for Mathematical Sciences
126, USA,Hobart and William Smith Colleges
127,Poland,Institute of Astronomy
128, USA,Andrews University
129,Italy,Universita di Siena
130, USA,Trinity University
131, USA,University of Washington
132, USA,Kenyon College
133, USA,Abilene Christian University
