1,LIGO California Institute of Technology, Pasadena, CA 91125, USA
2,Louisiana State University, Baton Rouge, LA 70803, USA
3,Università di Salerno, Fisciano, I-84084 Salerno, Italy
4,INFN, Sezione di Napoli, Complesso Universitario di Monte S.Angelo, I-80126 Napoli, Italy
5,University of Florida, Gainesville, FL 32611, USA
6,LIGO Livingston Observatory, Livingston, LA 70754, USA
7,Laboratoire d'Annecy-le-Vieux de Physique des Particules (LAPP), Université Savoie Mont Blanc, CNRS/IN2P3, F-74941 Annecy-le-Vieux, France
8,Albert-Einstein-Institut, Max-Planck-Institut für Gravitationsphysik, D-30167 Hannover, Germany
9,Nikhef, Science Park, 1098 XG Amsterdam, The Netherlands
10,LIGO Massachusetts Institute of Technology, Cambridge, MA 02139, USA
11,Instituto Nacional de Pesquisas Espaciais, 12227-010 São José, dos Campos, SP, Brazil
12,INFN, Gran Sasso Science Institute, I-67100 L'Aquila, Italy
13,INFN, Sezione di Roma Tor Vergata, I-00133 Roma, Italy
14,Inter-University Centre for Astronomy and Astrophysics, Pune 411007, India
15,International Centre for Theoretical Sciences, Tata Institute of Fundamental Research, Bangalore 560012, India
16,University of Wisconsin-Milwaukee, Milwaukee, WI 53201, USA
17,Leibniz Universität Hannover, D-30167 Hannover, Germany
18,Università di Pisa, I-56127 Pisa, Italy
19,INFN, Sezione di Pisa, I-56127 Pisa, Italy
20,Australian National University, Canberra, Australian Capital Territory 0200, Australia
21,The University of Mississippi, Oxford, MS 38677, USA
22,California State University Fullerton, Fullerton, CA 92831, USA
23,LAL, Univ. Paris-Sud, CNRS/IN2P3, Université Paris-Saclay, Orsay, France
24,Chennai Mathematical Institute, Chennai, India
25,Università di Roma Tor Vergata, I-00133 Roma, Italy
26,University of Southampton, Southampton SO17 1BJ, UK
27,Universität Hamburg, D-22761 Hamburg, Germany
28,INFN, Sezione di Roma, I-00185 Roma, Italy
29,Albert-Einstein-Institut, Max-Planck-Institut für Gravitationsphysik, D-14476 Potsdam-Golm, Germany
30,APC, AstroParticule et Cosmologie, Université Paris Diderot, CNRS/IN2P3, CEA/Irfu, Observatoire de Paris, Sorbonne Paris Cité, F-75205 Paris Cedex 13, France
31,Montana State University, Bozeman, MT 59717, USA
32,Università di Perugia, I-06123 Perugia, Italy
33,INFN, Sezione di Perugia, I-06123 Perugia, Italy
34,European Gravitational Observatory (EGO), I-56021 Cascina, Pisa, Italy
35,Syracuse University, Syracuse, NY 13244, USA
36,SUPA, University of Glasgow, Glasgow G12 8QQ, UK
37,LIGO Hanford Observatory, Richland, WA 99352, USA
38,Wigner RCP, RMKI, H-1121 Budapest, Konkoly Thege Miklós út 29-33, Hungary
39,Columbia University, New York, NY 10027, USA
40,Stanford University, Stanford, CA 94305, USA
41,Università di Padova, Dipartimento di Fisica e Astronomia, I-35131 Padova, Italy
42,INFN, Sezione di Padova, I-35131 Padova, Italy
43,CAMK-PAN, 00-716 Warsaw, Poland
44,Astronomical Observatory Warsaw University, 00-478 Warsaw, Poland
45,University of Birmingham, Birmingham B15 2TT, UK
46,Università degli Studi di Genova, I-16146 Genova, Italy
47,INFN, Sezione di Genova, I-16146 Genova, Italy
48,RRCAT, Indore MP 452013, India
49,Faculty of Physics, Lomonosov Moscow State University, Moscow 119991, Russia
50,SUPA, University of the West of Scotland, Paisley PA1 2BE, UK
51,University of Western Australia, Crawley, Western Australia 6009, Australia
52,Department of Astrophysics/IMAPP, Radboud University Nijmegen, P.O. Box 9010, 6500 GL Nijmegen, The Netherlands
53,Artemis, Université Côte d'Azur, CNRS, Observatoire Côte d'Azur, CS F-34229, Nice cedex 4, France
54,MTA Eötvös University, "Lendulet" Astrophysics Research Group, Budapest 1117, Hungary
55,Institut de Physique de Rennes, CNRS, Université de Rennes 1, F-35042 Rennes, France
56,Washington State University, Pullman, WA 99164, USA
57,Università degli Studi di Urbino "Carlo Bo," I-61029 Urbino, Italy
58,INFN, Sezione di Firenze, I-50019 Sesto Fiorentino, Firenze, Italy
59,University of Oregon, Eugene, OR 97403, USA
60,Laboratoire Kastler Brossel, UPMC-Sorbonne Universités, CNRS, ENS-PSL Research University, Collège de France, F-75005 Paris, France
61,VU University Amsterdam, 1081 HV Amsterdam, The Netherlands
62,University of Maryland, College Park, MD 20742, USA
63,Center for Relativistic Astrophysics and School of Physics, Georgia Institute of Technology, Atlanta, GA 30332, USA
64,Institut Lumière Matière, Université, de Lyon, Université, Claude Bernard Lyon 1, UMR CNRS 5306, F-69622 Villeurbanne, France
65,Laboratoire des Matériaux Avancés (LMA), IN2P3/CNRS, Université de Lyon, F-69622 Villeurbanne, Lyon, France
66,Universitat de les Illes Balears, IAC3—IEEC, E-07122 Palma de Mallorca, Spain
67,Università di Napoli "Federico II," Complesso Universitario di Monte S.Angelo, I-80126 Napoli, Italy
68,NASA/Goddard Space Flight Center, Greenbelt, MD 20771, USA
69,Canadian Institute for Theoretical Astrophysics, University of Toronto, Toronto, Ontario M5S 3H8, Canada
70,Tsinghua University, Beijing 100084, China
71,University of Michigan, Ann Arbor, MI 48109, USA
72,The Pennsylvania State University, University Park, PA 16802, USA
73,National Tsing Hua University, Hsinchu City 30013, Taiwan ROC
74,Charles Sturt University, Wagga Wagga, New South Wales 2678, Australia
75,University of Chicago, Chicago, IL 60637, USA
76,Caltech CaRT, Pasadena, CA 91125, USA
77,Korea Institute of Science and Technology Information, Daejeon 305-806, Korea
78,Carleton College, Northfield, MN 55057, USA
79,Università di Roma "La Sapienza," I-00185 Roma, Italy
80,University of Brussels, Brussels 1050, Belgium
81,Sonoma State University, Rohnert Park, CA 94928, USA
82,Texas Tech University, Lubbock, TX 79409, USA
83,Northwestern University, Evanston, IL 60208, USA
84,University of Minnesota, Minneapolis, MN 55455, USA
85,The University of Melbourne, Parkville, Victoria 3010, Australia
86,The University of Texas Rio Grande Valley, Brownsville, TX 78520, USA
87,The University of Sheffield, Sheffield S10 2TN, UK
88,University of Sannio at Benevento, I-82100 Benevento, Italy and INFN, Sezione di Napoli, I-80100 Napoli, Italy
89,Montclair State University, Montclair, NJ 07043, USA
90,Università di Trento, Dipartimento di Fisica, I-38123 Povo, Trento, Italy
91,INFN, Trento Institute for Fundamental Physics and Applications, I-38123 Povo, Trento, Italy
92,Cardiff University, Cardiff CF24 3AA, UK
93,National Astronomical Observatory of Japan, 2-21-1 Osawa, Mitaka, Tokyo 181-8588, Japan
94,School of Mathematics, University of Edinburgh, Edinburgh EH9 3FD, UK
95,Indian Institute of Technology, Gandhinagar Ahmedabad Gujarat 382424, India
96,Institute for Plasma Research, Bhat, Gandhinagar 382428, India
97,University of Szeged, Dóm tér 9, Szeged 6720, Hungary
98,Embry-Riddle Aeronautical University, Prescott, AZ 86301, USA
99,Tata Institute of Fundamental Research, Mumbai 400005, India
100,American University, Washington, DC 20016, USA
101,University of Massachusetts-Amherst, Amherst, MA 01003, USA
102,University of Adelaide, Adelaide, South Australia 5005, Australia
103,West Virginia University, Morgantown, WV 26506, USA
104,University of Białystok, 15-424 Białystok, Poland
105,SUPA, University of Strathclyde, Glasgow G1 1XQ, UK
106,IISER-TVM, CET Campus, Trivandrum Kerala 695016, India
107,Institute of Applied Physics, Nizhny Novgorod, 603950, Russia
108,Pusan National University, Busan 609-735, Korea
109,Hanyang University, Seoul 133-791, Korea
110,NCBJ, 05-400 Świerk-Otwock, Poland
111,IM-PAN, 00-956 Warsaw, Poland
112,Rochester Institute of Technology, Rochester, NY 14623, USA
113,Monash University, Victoria 3800, Australia
114,Seoul National University, Seoul 151-742, Korea
115,University of Alabama in Huntsville, Huntsville, AL 35899, USA
116,ESPCI, CNRS, F-75005 Paris, France
117,Università di Camerino, Dipartimento di Fisica, I-62032 Camerino, Italy
118,Southern University and A&M College, Baton Rouge, LA 70813, USA
119,College of William and Mary, Williamsburg, VA 23187, USA
120,Instituto de Física Teórica, University Estadual Paulista/ICTP South American Institute for Fundamental Research, São Paulo SP 01140-070, Brazil
121,University of Cambridge, Cambridge CB2 1TN, UK
122,IISER-Kolkata, Mohanpur, West Bengal 741252, India
123,Rutherford Appleton Laboratory, HSIC, Chilton, Didcot, Oxon OX11 0QX, UK
124,Whitman College, 345 Boyer Ave, Walla Walla, WA 99362 USA
125,National Institute for Mathematical Sciences, Daejeon 305-390, Korea
126,Hobart and William Smith Colleges, Geneva, NY 14456, USA
127,Institute of Astronomy, 65-265 Zielona Góra, Poland
128,Andrews University, Berrien Springs, MI 49104, USA
129,Università di Siena, I-53100 Siena, Italy
130,Trinity University, San Antonio, TX 78212, USA
131,University of Washington, Seattle, WA 98195, USA
132,Kenyon College, Gambier, OH 43022, USA
133,Abilene Christian University, Abilene, TX 79699, USA
